what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1368204409560
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1368204409561
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1368204410739
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1368204410739
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1368204417720
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1368204418286
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1368204420372
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1368204429311
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1368204434111
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1368204434744
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1368204440801
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1368204444506
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineEnd",1368204445417
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1368204445787
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1368204446243
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1368204452452
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1368204454811
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1368204456590
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1368204459992
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1368204460584
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1368204462660
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1368204467219
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1368204467788
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1368204469861
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1368204475642
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1368204476223
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1368204478299
